Year,ParasNo,Paragraphs,Clean_Text,scores,Sentiment Score,Sentiment
2004_eng.txt,0,Tribute to Goh Chok Tong,tribute to goh chok tong,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
2004_eng.txt,1," 
Friends and fellow Singaporeans, I've known Mr Goh Chok Tong for a very long time, more than 25 years.  We first met in 1978.  It was not long after he entered politics.  We met socially and I remember he was explaining to me how he was consciously staying away from making speeches on shipping matters because he was from NOL (Neptune Orient Lines) and he wanted to broaden out and talk about other subjects. Soon after I met him, I went away to the US to study.  When I was away, I needed to make a presentation on Singapore – Know Your World – and wanted something to show the Americans what Singapore was like.  So, I asked Mr Goh and he sent me some slides of activities in Marine Parade, a kite-flying competition, something you won't find in America and it added something to letting the Americans know us.  I came back from America after two years in the SAF (Singapore Armed Forces).  He was my minister.  I would brief him regularly. Then I entered Cabinet and he was a colleague and then, he was the Prime Minister. ",friends and fellow singaporeans  i ve known mr goh chok tong for a very long time  more than years   we first met in   it was not long after he entered politics   we met socially and i remember he was explaining to me how he was consciously staying away from making speeches on shipping matters because he was from nol  neptune orient lines  and he wanted to broaden out and talk about other subjects  soon after i met him  i went away to the us to study   when i was away  i needed to make a presentation on singapore   know your world   and wanted something to show the americans what singapore was like   so  i asked mr goh and he sent me some slides of activities in marine parade  a kite flying competition  something you won t find in america and it added something to letting the americans know us   i came back from america after two years in the saf  singapore armed forces    he was my minister   i would brief him regularly  then i entered cabinet and he was a colleague and then  he was the prime minister,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.8555}",0.8555,Positive
2004_eng.txt,2,"When Mr Goh took over from Mr Lee Kuan Yew as PM, many people wondered how he would work out because Singapore had had onlyone PM ever since it was independent, in fact, ever since before it was independent.  What would the new PM be like?  Would he be his own man? What mark would he put on Singapore?  All this uncertainty was soon dispelled.  Chok Tong established his own style, milder, gentler, consultative and inclusive, but firm and clear.  He built his own team.  He retained key members from his own generation to help with the transition.  He brought in new and younger ministers and he got good men and women to work with him and formed a strong team.  And I'd just like to mention two of the people who kept on and stayed with him.  One is Mr Dhanabalan, who had actually gone into the private sector after the transition was completed and came back in again when I was ill with lymphoma in 1992 and took over from me in MTI (Ministry of Trade and Industry) and looked after MTI for one year, one crucial year, and helped out at a very difficult time.  And the other one is Dr Tony Tan, who also went out after the transition into the private sector, but came back in 1995 because Chok Tong asked him to help run Mindef (Ministry of Defence) for two years.  And he stayed for nine years and now, he's staying for another year to help me out with my transition.  So, I owe them a thank you. ",when mr goh took over from mr lee kuan yew as pm  many people wondered how he would work out because singapore had had onlyone pm ever since it was independent  in fact  ever since before it was independent   what would the new pm be like   would he be his own man  what mark would he put on singapore   all this uncertainty was soon dispelled   chok tong established his own style  milder  gentler  consultative and inclusive  but firm and clear   he built his own team   he retained key members from his own generation to help with the transition   he brought in new and younger ministers and he got good men and women to work with him and formed a strong team   and i d just like to mention two of the people who kept on and stayed with him   one is mr dhanabalan  who had actually gone into the private sector after the transition was completed and came back in again when i was ill with lymphoma in and took over from me in mti  ministry of trade and industry  and looked after mti for one year  one crucial year  and helped out at a very difficult time   and the other one is dr tony tan  who also went out after the transition into the private sector  but came back in because chok tong asked him to help run mindef  ministry of defence  for two years   and he stayed for nine years and now  he s staying for another year to help me out with my transition   so  i owe them a thank you,"{'neg': 0.032, 'neu': 0.844, 'pos': 0.124, 'compound': 0.9755}",0.9755,Positive
2004_eng.txt,3,"Chok Tong launched new policies to take Singapore forward.  Some were popular policies, like Edusave and Medifund.  Everybody liked them.  Some were difficult but necessary policies.  We had to cut the CPF (Central Provident Fund), we had to raise the GST (Goods and Services Tax), not popular, but we had to do it and Chok Tong sold these policies and persuaded people to do it.  Many things were in foreign policy.  He travelled, he made friends with foreign leaders, he established contacts, gained their respect and made use of these links for our advantage, for example, establishing many free trade agreements with important trading partners and I should just mention one, the US free trade agreement because that one was born on a golf course.  One evening after dinner, he persuaded Bill Clinton to play golf in Bandar Seri Begawan at night and over 18 holes, a free trade agreement was born.  So, that means he's telling me I should play golf. ",chok tong launched new policies to take singapore forward   some were popular policies  like edusave and medifund   everybody liked them   some were difficult but necessary policies   we had to cut the cpf  central provident fund   we had to raise the gst  goods and services tax   not popular  but we had to do it and chok tong sold these policies and persuaded people to do it   many things were in foreign policy   he travelled  he made friends with foreign leaders  he established contacts  gained their respect and made use of these links for our advantage  for example  establishing many free trade agreements with important trading partners and i should just mention one  the us free trade agreement because that one was born on a golf course   one evening after dinner  he persuaded bill clinton to play golf in bandar seri begawan at night and over holes  a free trade agreement was born   so  that means he s telling me i should play golf,"{'neg': 0.022, 'neu': 0.688, 'pos': 0.29, 'compound': 0.9947}",0.9947,Positive
2004_eng.txt,4,"Chok Tong established his own connection with Singaporeans, not high-flown oratory, but sincere, direct, personal.  He made people feel comfortable and listened to.  He persuaded people to accept tough decisions.  He explained highly-sensitive issues and defused them and so, when we had dialogues discussing very difficult things, I was always very comfortable sitting next to him because I knew that no matter how difficult the subject, how awkward the question, how uncomfortable the audience, he would be able, with a soft turn of word, with a joke, with a nice question back, to put the audience at ease and get his point across.  And that's why when you see the pictures of me sitting next to him on a dialogue, I'm always smiling.  But following him on the National Day Rally all by myself here, well, that's a different show altogether.  But Chok Tong won the support of voters and the respect and the affection of Singaporeans and brought us all closer together as one people and, for that, I think we all thank Chok Tong. ",chok tong established his own connection with singaporeans  not high flown oratory  but sincere  direct  personal   he made people feel comfortable and listened to   he persuaded people to accept tough decisions   he explained highly sensitive issues and defused them and so  when we had dialogues discussing very difficult things  i was always very comfortable sitting next to him because i knew that no matter how difficult the subject  how awkward the question  how uncomfortable the audience  he would be able  with a soft turn of word  with a joke  with a nice question back  to put the audience at ease and get his point across   and that s why when you see the pictures of me sitting next to him on a dialogue  i m always smiling   but following him on the national day rally all by myself here  well  that s a different show altogether   but chok tong won the support of voters and the respect and the affection of singaporeans and brought us all closer together as one people and  for that  i think we all thank chok tong,"{'neg': 0.079, 'neu': 0.675, 'pos': 0.246, 'compound': 0.9904}",0.9904,Positive
2004_eng.txt,5,II          Entering politics and becoming PM,ii          entering politics and becoming pm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
2004_eng.txt,6,"I owe a personal debt to Goh Chok Tong.  I didn't plan to enter politics or to become PM, but he brought me in.  He guided me and supported me and especially over these last 14 years when I was his Deputy PM (DPM) and since coming in, politics has engaged all my energies and abilities.  It's what they call a 24/7 job, there's no running away from it. ",i owe a personal debt to goh chok tong   i didn t plan to enter politics or to become pm  but he brought me in   he guided me and supported me and especially over these last years when i was his deputy pm  dpm  and since coming in  politics has engaged all my energies and abilities   it s what they call a 7 job  there s no running away from it,"{'neg': 0.063, 'neu': 0.779, 'pos': 0.158, 'compound': 0.7783}",0.7783,Positive
2004_eng.txt,7,"I've been part of a team dealing with many issues, big and small, and I've learnt much from the previous two PMs, especially not just to focus on policies but on how the policies impact people, the lives of individual Singaporeans, what does it mean, how does it hurt, where can we help.  So, I've always paid a lot of attention to my MPS cases, my Meet-the-People Session cases.  Nine out of 10 are routine, but always keep my eye open for that last tenth one where the policy has gone wrong, the implementation is not right or maybe the policy is wrong and has to be changed and we have to do something, intervene and put it right.  I won't tell you which ones otherwise you will all come and look for me.  But I have red stickers on my table so when such a case comes, I put a red sticker and I see to it personally.  I've learnt that not all problems can be solved, but some can and must and when you do solve one of these, it really gives you a high and it gives my helpers a high too.  It makes my evening worthwhile and then the next time you come back for the MPS, chuffed up, enthused, energised and we try again.  And when you have a long case, well, we sit patiently and we wait. ",i ve been part of a team dealing with many issues  big and small  and i ve learnt much from the previous two pms  especially not just to focus on policies but on how the policies impact people  the lives of individual singaporeans  what does it mean  how does it hurt  where can we help   so  i ve always paid a lot of attention to my mps cases  my meet the people session cases   nine out of are routine  but always keep my eye open for that last tenth one where the policy has gone wrong  the implementation is not right or maybe the policy is wrong and has to be changed and we have to do something  intervene and put it right   i won t tell you which ones otherwise you will all come and look for me   but i have red stickers on my table so when such a case comes  i put a red sticker and i see to it personally   i ve learnt that not all problems can be solved  but some can and must and when you do solve one of these  it really gives you a high and it gives my helpers a high too   it makes my evening worthwhile and then the next time you come back for the mps  chuffed up  enthused  energised and we try again   and when you have a long case  well  we sit patiently and we wait,"{'neg': 0.05, 'neu': 0.821, 'pos': 0.129, 'compound': 0.9583}",0.9583,Positive
2004_eng.txt,8,"It's a big step from being DPM to being PM.  It's not just working out policies or managing the economy.  It's really uniting all Singaporeans, making sure everybody knows and feels that we are on the same venture together and building our nation and making each generation of Singaporeans feel proud to be Singaporean, proud to carry that pink IC and that red passport wherever we go. ",it s a big step from being dpm to being pm   it s not just working out policies or managing the economy   it s really uniting all singaporeans  making sure everybody knows and feels that we are on the same venture together and building our nation and making each generation of singaporeans feel proud to be singaporean  proud to carry that pink ic and that red passport wherever we go,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.8176}",0.8176,Positive
2004_eng.txt,9,III         Singapore at a crossroad,iii         singapore at a crossroad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
